,Latitude,Lat,Longitude,Lon,Altitude,CommandTX
292,3511.760498,b'N',8607.299805,b'W',254.5,0
293,3511.760498,b'N',8607.299805,b'W',254.5,0
294,3511.760498,b'N',8607.299805,b'W',254.5,0
295,3511.760498,b'N',8607.299805,b'W',254.5,0
296,3511.760498,b'N',8607.299805,b'W',254.5,0
297,3511.760254,b'N',8607.299805,b'W',254.5,0
298,3511.760254,b'N',8607.299805,b'W',254.5,0
299,3511.760254,b'N',8607.299805,b'W',254.5,0
300,3511.760010,b'N',8607.299805,b'W',254.5,0
301,3511.760254,b'N',8607.299805,b'W',254.6,0
302,3511.760254,b'N',8607.299805,b'W',254.6,0
303,3511.760254,b'N',8607.299805,b'W',254.6,0
304,3511.760254,b'N',8607.299805,b'W',254.6,0
305,3511.760254,b'N',8607.299805,b'W',254.6,0
306,3511.760254,b'N',8607.299805,b'W',254.6,0
307,3511.760254,b'N',8607.299805,b'W',254.6,0
308,3511.760254,b'N',8607.299805,b'W',254.6,0
309,3511.760254,b'N',8607.298828,b'W',254.6,0
310,3511.760254,b'N',8607.298828,b'W',254.6,0
311,3511.760254,b'N',8607.298828,b'W',254.6,0
312,3511.760254,b'N',8607.298828,b'W',254.6,0
313,3511.760254,b'N',8607.298828,b'W',254.6,0
314,3511.760254,b'N',8607.298828,b'W',254.7,0
315,3511.760254,b'N',8607.298828,b'W',254.7,0
316,3511.760254,b'N',8607.298828,b'W',254.7,0
317,3511.760254,b'N',8607.298828,b'W',254.7,0
318,3511.760498,b'N',8607.298828,b'W',254.8,0
319,3511.760254,b'N',8607.298828,b'W',254.8,0
320,3511.760254,b'N',8607.298828,b'W',254.8,0
321,3511.760254,b'N',8607.298828,b'W',254.8,0
322,3511.760254,b'N',8607.298828,b'W',254.8,0
323,3511.760254,b'N',8607.298828,b'W',254.8,0
324,3511.760254,b'N',8607.298828,b'W',254.8,0
325,3511.760254,b'N',8607.298828,b'W',254.8,0
326,3511.760254,b'N',8607.298828,b'W',254.8,0
327,3511.760010,b'N',8607.298828,b'W',254.8,0
328,3511.760010,b'N',8607.298828,b'W',254.8,0
329,3511.760010,b'N',8607.298828,b'W',254.8,0
330,3511.760010,b'N',8607.298828,b'W',254.8,0
331,3511.760010,b'N',8607.298828,b'W',254.8,0
332,3511.759766,b'N',8607.298828,b'W',254.8,0
333,3511.759766,b'N',8607.298828,b'W',254.8,0
334,3511.759766,b'N',8607.298828,b'W',254.8,0
335,3511.759766,b'N',8607.298828,b'W',254.8,1
336,3511.759766,b'N',8607.298828,b'W',254.8,0
337,3511.760010,b'N',8607.298828,b'W',254.9,0
338,3511.760010,b'N',8607.298828,b'W',254.9,0
339,3511.760010,b'N',8607.298828,b'W',254.9,0
340,3511.760010,b'N',8607.298828,b'W',254.9,0
341,3511.760010,b'N',8607.298828,b'W',254.9,0
342,3511.759766,b'N',8607.298828,b'W',254.9,0
343,3511.759766,b'N',8607.298828,b'W',254.9,0
344,3511.759766,b'N',8607.298828,b'W',254.9,0
345,3511.760010,b'N',8607.298828,b'W',254.9,0
346,3511.760010,b'N',8607.298828,b'W',254.9,0
347,3511.760010,b'N',8607.299805,b'W',254.9,0
348,3511.760010,b'N',8607.299805,b'W',254.9,0
349,3511.760010,b'N',8607.299805,b'W',254.9,0
350,3511.760010,b'N',8607.299805,b'W',254.9,0
351,3511.760010,b'N',8607.299805,b'W',254.9,0
352,3511.760010,b'N',8607.299805,b'W',254.9,0
353,3511.760010,b'N',8607.299805,b'W',254.9,0
354,3511.760010,b'N',8607.299805,b'W',254.9,0
355,3511.760010,b'N',8607.299805,b'W',254.9,0
356,3511.760010,b'N',8607.299805,b'W',254.9,0
357,3511.760010,b'N',8607.299805,b'W',254.9,0
358,3511.760010,b'N',8607.299805,b'W',254.9,0
359,3511.759766,b'N',8607.299805,b'W',254.9,0
360,3511.760010,b'N',8607.299805,b'W',254.9,0
361,3511.760010,b'N',8607.299805,b'W',254.9,0
362,3511.760010,b'N',8607.299805,b'W',254.9,0
363,3511.759766,b'N',8607.299805,b'W',254.9,0
364,3511.760010,b'N',8607.299805,b'W',254.9,0
365,3511.759766,b'N',8607.299805,b'W',254.9,0
366,3511.760010,b'N',8607.299805,b'W',254.9,0
367,3511.760010,b'N',8607.299805,b'W',254.9,0
